id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-11-23T13:40:13;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-11-23T01:32:55;75071;94375
2;program Unbranded;2020-11-23T13:49:13;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-11-23T06:13:44;8068;31806
3;Indian Rupee Ngultrum;2020-11-23T15:47:24;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-11-23T13:13:45;92121;74564
4;transmitting EXE parse;2020-11-23T12:11:14;open architecture;PAID;PAYPAL;2020-11-23T19:15:18;99574;33894
5;attitude-oriented;2020-11-23T06:42:11;Integration structure;CANCELLED;PAYPAL;2020-11-23T08:49:41;72584;98923
6;SDD auxiliary Utah;2020-11-23T09:46:39;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-11-23T01:08:50;7073;6807
7;Customer;2020-11-23T20:13:43;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-11-23T00:30:15;32780;10756
8;Arizona Awesome Fresh Soap system;2020-11-23T06:27:24;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-23T06:16:27;50263;19746
9;applications Generic;2020-11-23T04:42:10;Assurance;ISSUED;CASH_ON_DELIVERY;2020-11-23T19:19:49;36970;88317
10;functionalities bifurcated;2020-11-23T14:27:34;Investment Account;PAID;CREDIT_CARD;2020-11-23T14:27:34;94911;93817
