id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-22T21:51:57;payment unleash Jamaican Dollar;1
2;Rest;2020-11-23T17:08:27;Plains;2
3;Quality Plastic plum;2020-11-22T21:28:49;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-23T17:56:01;Architect SSL;4
5;zero tolerance;2020-11-23T14:52:20;user-facing CSS;5
6;ADP Ouguiya;2020-11-23T10:48:48;Garden;6
7;auxiliary;2020-11-23T19:04:48;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-22T22:02:49;Viaduct hybrid;8
9;mesh;2020-11-23T20:28:28;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-23T18:27:22;Re-engineered withdrawal Ball;10
